league,season,team,minutes_90s,goals_against_gk,pens_allowed,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
ITA-Serie A,2122,Atalanta,38,48,5,0,3,3,44.2,0.29,-0.8,-0.02,157,387,40.6,863,203,26.0,37.8,240,67.9,49.2,356,29,8.1,43,1.13,18.0
ITA-Serie A,2122,Bologna,38,55,8,1,3,2,56.2,0.26,3.2,0.08,198,482,41.1,988,170,39.6,33.0,314,29.0,26.6,525,29,5.5,14,0.37,5.5
ITA-Serie A,2122,Cagliari,38,68,7,5,10,1,58.8,0.28,-8.2,-0.22,343,765,44.8,958,122,53.2,41.5,348,73.3,47.9,526,23,4.4,34,0.89,13.8
ITA-Serie A,2122,Empoli,38,70,5,1,5,6,65.2,0.28,1.2,0.03,133,386,34.5,984,215,28.2,29.5,339,32.2,31.4,602,35,5.8,38,1.0,13.9
ITA-Serie A,2122,Fiorentina,38,51,3,0,3,2,39.8,0.28,-9.2,-0.24,240,561,42.8,1660,164,29.2,30.8,209,36.8,34.9,352,24,6.8,71,1.87,22.3
ITA-Serie A,2122,Genoa,38,60,4,3,7,2,51.6,0.26,-6.4,-0.17,263,626,42.0,894,103,48.9,38.5,322,58.7,40.4,490,16,3.3,20,0.53,11.2
ITA-Serie A,2122,Hellas Verona,38,59,3,2,8,2,48.7,0.29,-8.3,-0.22,208,622,33.4,781,133,56.2,33.1,281,65.1,44.6,529,22,4.2,24,0.63,11.3
ITA-Serie A,2122,Inter,38,32,4,0,3,1,34.8,0.25,3.8,0.1,143,309,46.3,1059,178,26.3,33.3,224,13.4,20.5,397,15,3.8,11,0.29,16.0
ITA-Serie A,2122,Juventus,38,37,4,2,6,1,37.1,0.25,1.1,0.03,138,308,44.8,894,176,27.9,29.6,259,22.8,26.6,570,25,4.4,29,0.76,12.6
ITA-Serie A,2122,Lazio,38,58,5,1,5,1,52.2,0.33,-4.8,-0.13,145,294,49.3,1032,165,23.4,28.5,233,22.7,25.4,469,21,4.5,26,0.68,14.5
ITA-Serie A,2122,Milan,38,31,4,0,5,2,33.2,0.23,4.2,0.11,190,448,42.4,1109,178,33.9,33.3,248,29.0,29.4,429,31,7.2,48,1.26,12.5
ITA-Serie A,2122,Napoli,38,31,1,0,3,1,34.1,0.25,4.1,0.11,86,222,38.7,929,170,20.6,25.1,245,12.7,19.5,443,21,4.7,36,0.95,14.6
ITA-Serie A,2122,Roma,38,43,5,2,5,2,42.2,0.25,1.2,0.03,174,393,44.3,844,141,38.2,34.2,232,30.6,30.7,393,12,3.1,26,0.68,14.3
ITA-Serie A,2122,Salernitana,38,78,6,0,6,2,68.1,0.28,-7.9,-0.21,324,676,47.9,840,125,53.6,36.4,328,68.9,48.1,580,22,3.8,27,0.71,4.0
ITA-Serie A,2122,Sampdoria,38,63,3,1,4,2,55.8,0.28,-5.2,-0.14,268,626,42.8,1035,162,41.1,33.2,325,61.8,43.2,583,29,5.0,27,0.71,10.2
ITA-Serie A,2122,Sassuolo,38,66,8,0,11,1,58.5,0.28,-6.5,-0.17,188,436,43.1,1179,178,30.3,26.7,321,24.6,23.9,500,22,4.4,30,0.79,6.0
ITA-Serie A,2122,Spezia,38,71,10,3,7,3,60.8,0.24,-7.2,-0.19,227,689,32.9,1116,177,45.6,40.1,316,57.0,44.9,575,30,5.2,33,0.87,11.8
ITA-Serie A,2122,Torino,38,41,9,2,4,0,37.1,0.21,-3.9,-0.1,251,871,28.8,1116,135,57.9,39.4,254,88.6,63.0,448,25,5.6,33,0.87,14.6
ITA-Serie A,2122,Udinese,38,58,5,0,4,1,52.5,0.29,-4.5,-0.12,179,472,37.9,745,125,45.9,36.7,295,44.1,36.8,518,17,3.3,12,0.32,11.0
ITA-Serie A,2122,Venezia,38,69,11,0,5,2,68.2,0.26,1.2,0.03,182,516,35.3,970,213,38.8,30.3,336,41.7,36.3,640,22,3.4,24,0.63,13.8
ITA-Serie A,2223,Atalanta,38,48,3,1,5,2,41.3,0.25,-4.7,-0.12,161,425,37.9,863,237,28.9,32.1,307,57.3,44.7,454,32,7.0,42,1.11,15.6
ITA-Serie A,2223,Bologna,38,49,7,1,6,3,48.3,0.25,2.3,0.06,151,380,39.7,927,211,30.5,35.6,306,31.7,31.7,502,29,5.8,24,0.63,
ITA-Serie A,2223,Cremonese,38,69,5,3,11,1,68.1,0.29,0.1,0.0,214,704,30.4,1039,181,50.7,35.7,324,54.6,45.8,527,35,6.6,39,1.03,8.6
ITA-Serie A,2223,Empoli,38,49,4,0,10,1,48.6,0.28,0.6,0.01,163,530,30.8,1144,191,36.5,18.5,363,30.9,30.4,741,39,5.3,26,0.68,
